model,mode,judge_reward_mean,judge_reward_std,judge_reward_count,generation_ms_mean,generation_ms_std,generation_ms_count,scoring_ms_mean,scoring_ms_std,scoring_ms_count,total_ms_mean,total_ms_std,total_ms_count,sub_llm_call_count_mean,sub_llm_call_count_std,sub_llm_call_count_count,sub_llm_prompt_tokens_mean,sub_llm_prompt_tokens_std,sub_llm_prompt_tokens_count,sub_llm_completion_tokens_mean,sub_llm_completion_tokens_std,sub_llm_completion_tokens_count,sub_llm_total_tool_calls_mean,sub_llm_total_tool_calls_std,sub_llm_total_tool_calls_count,sub_llm_total_turns_mean,sub_llm_total_turns_std,sub_llm_total_turns_count,sub_llm_batch_count_mean,sub_llm_batch_count_std,sub_llm_batch_count_count,sub_llm_max_batch_size_mean,sub_llm_max_batch_size_std,sub_llm_max_batch_size_count,sub_llm_mean_batch_size_mean,sub_llm_mean_batch_size_std,sub_llm_mean_batch_size_count,turns_mean,turns_std,turns_count,prompt_tokens_mean,prompt_tokens_std,prompt_tokens_count,completion_tokens_mean,completion_tokens_std,completion_tokens_count,tool_calls_mean,tool_calls_std,tool_calls_count,repl_total_time_seconds_mean,repl_total_time_seconds_std,repl_total_time_seconds_count,repl_call_count_mean,repl_call_count_std,repl_call_count_count,repl_mean_time_seconds_mean,repl_mean_time_seconds_std,repl_mean_time_seconds_count
deepseek/deepseek-v3.2,rlm,0.0,0.0,50,61040.015902519226,33051.89424610756,50,427.86127090454596,152.49290539637724,50,61467.87717342377,33071.61419287066,50,0.14,0.5349041493385445,50,2391.3,9542.11672972373,50,116.3,404.54298981967895,50,0.6,2.175935173103974,50,0.74,2.7015490643219446,50,0.14,0.5349041493385445,50,0.08,0.27404751561786966,50,0.08,0.27404751561786966,50,1.24,0.8221425468536089,50,1541.9,1289.3077916590175,50,467.14,457.3204123935829,50,0.24,0.8221425468536091,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50
deepseek/deepseek-v3.2,rlm_tips,0.0,0.0,50,162347.83226966858,92612.29605676781,50,429.577765464784,131.32161129199497,50,162777.41003513336,92591.15358801876,50,2.48,3.0986501340198482,50,29945.44,44932.80361904602,50,1502.94,2068.2364015394996,50,8.62,11.297263529957426,50,11.1,14.316039242466358,50,0.82,1.1726474494989216,50,1.88,1.9757716136709111,50,1.82761904762,1.9450284652120402,50,2.5,1.4603605928757766,50,4459.84,3482.4534534592426,50,1192.3,898.3663461176263,50,1.5,1.4603605928757766,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50
deepseek/deepseek-v3.2,standard,0.0,0.0,50,15197.483863830568,8517.884097774688,50,454.459033012398,157.78855122565562,50,15651.94289684295,8536.10194802958,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,1.36,0.662709343128183,50,1319.6,1421.9636753017114,50,614.96,356.13486094971586,50,0.36,0.662709343128183,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50
gpt-5-mini,rlm,0.54,0.5034574339058885,50,546107.6245164871,291520.40541141777,50,455.98504543304205,124.39532629429476,50,546563.6095619202,291521.92365010077,50,6.98,8.445479409067293,50,96818.04,122088.47077075389,50,12403.02,14984.788837677894,50,29.6,37.84501153334721,50,33.72,41.32698876037304,50,3.7,3.9292207255643046,50,1.94,1.235693641446052,50,1.5843555211559999,0.8286733977858082,50,7.02,4.560209447391823,50,18907.78,28341.594511255156,50,4633.32,5053.357515674553,50,6.02,4.560209447391823,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50
gpt-5-mini,rlm_tips,0.62,0.4903143514780147,50,543473.7940454483,263786.05346270336,50,456.591310501102,178.63007938850325,50,543930.3853559494,263805.6612138893,50,6.5,8.459386767951676,50,120577.62,152537.05529368584,50,13597.84,16986.469531881867,50,31.44,43.133944207052785,50,34.06,48.07961509574615,50,2.54,3.726408787154139,50,3.14,1.8953218454814433,50,2.39530769231,1.0363152556033968,50,5.66,3.766717837229931,50,18372.42,29235.641800259167,50,4066.74,4407.94449671527,50,4.66,3.766717837229931,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50
gpt-5-mini,rlm_tips_v2,0.7,0.4629100498862757,50,682834.2042207718,252896.5664669739,50,501.91311359405404,212.51954279928262,50,683336.1173343658,252910.07756239796,50,6.08,5.4915147904633335,50,115558.0,118961.45545323082,50,13679.52,13838.370592770565,50,29.28,30.09104551869481,50,31.2,29.718406307697386,50,2.56,2.223804425404577,50,2.62,1.1408911661772232,50,2.19082106782,0.9759842149478164,50,5.74,2.3282646598981427,50,17598.76,15500.436616049345,50,4399.38,4027.1525003178517,50,4.76,2.33482945232164,50,463.106299677502,199.51268962811506,50,4.72,2.3302798290404207,50,99.51841220783001,21.29044335693432,50
gpt-5-mini,standard,0.58,0.49856938190329,50,147808.38555812836,154987.99867116206,50,470.613832473752,156.00042463616296,50,148278.9993906021,154981.56291703007,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,12.52,9.59855431291396,50,109421.34,145828.90091412206,50,7643.08,8082.916936202612,50,11.9,10.033108456810504,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50
prime-intellect/intellect-3,rlm,0.08,0.2740475156178697,50,400897.7635192871,243475.82637471642,50,490.95275878906403,167.81617081982964,50,401388.7162780762,243443.4518969403,50,7.96,23.896853178540784,50,23053.32,41967.73847409703,50,8258.78,14593.345036651997,50,7.92,13.998308935768796,50,15.68,32.792134447648465,50,2.98,3.8676576257735227,50,2.9,11.860154522860249,50,2.64388888889,11.732220121403792,50,7.06,7.2517696643858,50,19725.28,31914.348542616244,50,5540.28,5661.701936516897,50,6.42,7.148826077455953,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50
prime-intellect/intellect-3,rlm_tips,0.16,0.37032803990902063,50,808879.4711494446,313284.34129769617,50,513.108968734738,174.9068870170369,50,809392.5801181793,313283.95034834533,50,11.36,9.284087769634976,50,51924.94,38903.09983578508,50,17378.82,11803.852144818431,50,17.14,11.84941228198983,50,28.2,19.708073555406326,50,3.12,2.446488528983731,50,4.46,1.8206300770752473,50,3.5290952380959997,1.5417520765365287,50,6.6,3.4582052676886295,50,20651.92,19283.00873809555,50,8098.36,13319.885218540814,50,5.76,3.377959775500289,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50
prime-intellect/intellect-3,standard,0.12,0.328260722659316,50,56537.84904003143,50493.74510080259,50,473.316845893858,148.21200952869006,50,57011.16588592529,50508.306521350045,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,5.46,4.630026226399032,50,25605.72,38485.550051107835,50,1900.94,2439.62572748446,50,4.82,4.288998741440901,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50
