model,mode,correct_answer_mean,correct_answer_std,correct_answer_count,generation_ms_mean,generation_ms_std,generation_ms_count,scoring_ms_mean,scoring_ms_std,scoring_ms_count,total_ms_mean,total_ms_std,total_ms_count,num_turns_mean,num_turns_std,num_turns_count,num_tool_calls_mean,num_tool_calls_std,num_tool_calls_count,num_errors_mean,num_errors_std,num_errors_count,sub_llm_call_count_mean,sub_llm_call_count_std,sub_llm_call_count_count,sub_llm_prompt_tokens_mean,sub_llm_prompt_tokens_std,sub_llm_prompt_tokens_count,sub_llm_completion_tokens_mean,sub_llm_completion_tokens_std,sub_llm_completion_tokens_count,sub_llm_total_tool_calls_mean,sub_llm_total_tool_calls_std,sub_llm_total_tool_calls_count,sub_llm_total_turns_mean,sub_llm_total_turns_std,sub_llm_total_turns_count,sub_llm_batch_count_mean,sub_llm_batch_count_std,sub_llm_batch_count_count,sub_llm_max_batch_size_mean,sub_llm_max_batch_size_std,sub_llm_max_batch_size_count,sub_llm_mean_batch_size_mean,sub_llm_mean_batch_size_std,sub_llm_mean_batch_size_count,turns_mean,turns_std,turns_count,prompt_tokens_mean,prompt_tokens_std,prompt_tokens_count,completion_tokens_mean,completion_tokens_std,completion_tokens_count,total_tool_calls_mean,total_tool_calls_std,total_tool_calls_count
deepseek/deepseek-v3.2,rlm,0.04,0.19794866372215741,50,208145.10472774506,190041.00051908195,50,3.1618881225579996,6.844491749213487,50,208148.26661586761,190041.17322093778,50,,,0,,,0,,,0,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,3.06,4.400417419903224,50,10195.38,30830.448613502136,50,4688.36,8083.031765421705,50,2.08,4.3977730913799205,50
deepseek/deepseek-v3.2,rlm_tips,0.04,0.19794866372215741,50,258528.9263534546,275075.1363405102,50,7.805652618398,17.959802769449,50,258536.732006073,275073.0846363349,50,,,0,,,0,,,0,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,3.44,2.711728118332496,50,7689.78,10010.968988737772,50,4178.28,4051.3793269221587,50,2.6,2.672612419124244,50
deepseek/deepseek-v3.2,standard,0.2,0.40406101782088427,50,221816.91212177277,256112.90819828902,50,12.944493293759999,17.435704722596032,50,221830.47373771667,256110.3748063541,50,,,0,,,0,,,0,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,5.22,4.00147931828891,50,8592.26,11835.598179980563,50,8886.0,12032.522645916348,50,8.64,8.045178553592436,50
gpt-5-mini,rlm,0.35333333333333333,0.4796064755241042,150,320157.906460762,394875.3282423338,150,27.028109232585333,26.654187978093994,150,320184.9345699946,394866.3190179608,150,,,0,,,0,,,0,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,5.093333333333334,2.859921308033348,150,10941.86,23486.937108500486,150,6502.833333333333,7856.199995418205,150,0.0,0.0,150
gpt-5-mini,rlm_tips,0.36,0.48241815132442173,100,251212.6495909691,258696.3030967589,100,27.171993255614996,26.963208922277037,100,251239.8215842247,258684.89199985974,100,,,0,,,0,,,0,0.01,0.09999999999999998,100,1.32,13.200000000000003,100,77.04,770.4,100,0.0,0.0,100,0.01,0.09999999999999998,100,0.01,0.09999999999999998,100,0.01,0.09999999999999998,100,0.01,0.09999999999999998,100,5.44,3.6826648234695765,100,12108.82,26440.984693525166,100,6533.95,8813.81015807155,100,0.0,0.0,100
gpt-5-mini,rlm_tips_subllm_120s,0.32,0.4712120714991611,50,1302303.6268472672,327659.2129746473,50,30.455136299134,29.39629141683223,50,1302334.0819835663,327641.72222469863,50,,,0,,,0,,,0,1.18,1.0821369636803213,50,156.06,125.82923478480909,50,2352.26,2468.2958411810837,50,0.0,0.0,50,1.18,1.0821369636803213,50,0.68,0.5126959555693246,50,1.16,1.0758954505007277,50,1.16,1.0758954505007277,50,5.12,3.9467889298951437,50,11363.32,12759.123630323424,50,6198.62,6989.50041392992,50,4.42,3.807028944958929,50
gpt-5-mini,rlm_tips_subllm_300s,0.26,0.4430874976934521,50,1162590.2792835236,375446.4514534912,50,24.991898536687998,28.497787510408152,50,1162615.2711820602,375432.69720204204,50,,,0,,,0,,,0,1.24,1.0796824930109248,50,189.32,169.14665053661304,50,2549.76,2774.274595828831,50,0.0,0.0,50,1.24,1.0796824930109248,50,0.9,0.8630747123996121,50,1.12,0.8241260058203405,50,1.12,0.8241260058203405,50,5.28,2.579669334924734,50,11358.92,11151.258361938077,50,5950.76,5219.180198194395,50,4.42,2.458554411827887,50
gpt-5-mini,rlm_tips_subllm_600s,0.3,0.4629100498862757,50,927825.9571743011,472154.65832296084,50,27.221250534058,27.47010327537102,50,927853.1784248352,472141.92688768957,50,,,0,,,0,,,0,1.18,0.9189612592043082,50,154.7,115.11365280115339,50,2471.42,2355.6140851079967,50,0.0,0.0,50,1.18,0.9189612592043082,50,0.78,0.5454823740581938,50,1.12,0.8953394066281368,50,1.12,0.8953394066281368,50,5.12,3.4442498664959174,50,11672.96,16523.889888872774,50,6076.94,6243.493407948954,50,4.36,3.2498665592699685,50
gpt-5-mini,standard,0.44,0.49888765156985887,100,141160.89994192123,131686.42001769447,100,11.339645385747001,17.416378438753416,100,141172.88288116455,131684.3366780976,100,,,0,,,0,,,0,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,1.67,2.3658129061848294,100,4690.3,30412.690684593617,100,2980.64,5621.515438801788,100,2.64,2.8338502202316675,100
prime-intellect/intellect-3,rlm,0.0,0.0,50,407146.1630105972,232225.56423501606,50,2.179260253902,0.3228377627668416,50,407148.34227085114,232225.5206731468,50,,,0,,,0,,,0,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,1.22,0.5066899385990915,50,0.0,0.0,50,0.0,0.0,50,0.26,0.44308749769345207,50
prime-intellect/intellect-3,rlm_tips,0.0,0.0,50,361094.79135513306,139438.7544573634,50,3.4615516662599997,6.844706291167676,50,361098.2529067993,139439.92005352027,50,,,0,,,0,,,0,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,1.36,0.8270922757788643,50,0.0,0.0,50,0.0,0.0,50,0.36,0.8270922757788645,50
prime-intellect/intellect-3,standard,0.42,0.49856938190328987,50,529171.8908023834,787571.0618552909,50,6.899018287658,12.19365679192421,50,529179.354262352,787573.7374454632,50,,,0,,,0,,,0,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,1.04,0.19794866372215744,50,0.0,0.0,50,0.0,0.0,50,0.08,0.3958973274443148,50
xiaomi/mimo-v2-flash:free,rlm,0.21,0.40936018074033237,100,288114.78366851807,322028.2693828624,100,12.907865047459,25.178758851719493,100,288127.6915335655,322024.5732058019,100,,,0,,,0,,,0,0.03,0.1714466079977653,100,7.55,49.98391155303288,100,177.21,1680.4947341227046,100,0.0,0.0,100,0.03,0.1714466079977653,100,0.03,0.1714466079977653,100,0.03,0.1714466079977653,100,0.03,0.1714466079977653,100,2.49,3.812512626241718,100,12336.67,28114.209458490168,100,3491.03,7639.7988688621035,100,0.0,0.0,100
xiaomi/mimo-v2-flash:free,rlm_tips,0.26,0.44084400227680814,100,305565.43410539627,554312.95944061,100,11.967046260834,21.844902156744695,100,305577.4011516571,554310.8218830313,100,,,0,,,0,,,0,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,3.62,5.00056562457254,100,28754.36,62435.758203087,100,6375.05,12845.20903681582,100,0.0,0.0,100
xiaomi/mimo-v2-flash:free,standard,0.55,0.4999999999999999,100,141129.93367671967,131875.16906252888,100,21.993789672850998,42.15674024223889,100,141152.5292468071,131888.9565298422,100,,,0,,,0,,,0,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,0.0,100,1.16,2.0336562088410064,100,8699.11,55007.41452628514,100,8118.22,15220.904934392638,100,1.47,2.4014095187551154,100
z-ai/glm-4.5-air,rlm,0.16,0.3703280399090206,50,337491.27522468567,300639.0446368254,50,17.058763504034,26.532401587264825,50,337508.3339881897,300631.69784675806,50,,,0,,,0,,,0,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,5.36,4.641252469947732,50,24793.1,38895.60309458945,50,17635.98,24274.928589390325,50,4.58,4.819560484661036,50
z-ai/glm-4.5-air,rlm_tips,0.16,0.3703280399090206,50,426552.9384660721,359424.5792006587,50,18.708906173709998,45.39196809927976,50,426571.6473722458,359411.59036642476,50,,,0,,,0,,,0,0.04,0.28284271247461895,50,4.44,31.39554108468271,50,26.82,189.64603871423202,50,0.0,0.0,50,0.04,0.28284271247461895,50,0.02,0.14142135623730948,50,0.04,0.28284271247461895,50,0.04,0.28284271247461895,50,6.84,5.581894930971754,50,35933.72,57801.79403367889,50,21809.9,26639.05266996297,50,6.12,5.712999855324589,50
z-ai/glm-4.5-air,standard,0.28,0.4535573676110727,50,365195.8425807953,381729.80210010376,50,12.120685577389999,22.96152149588006,50,365208.6004114151,381729.16929182725,50,,,0,,,0,,,0,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,5.9,10.940003357832564,50,112471.12,610065.7698228082,50,25096.58,27795.8157958851,50,9.84,22.134431576719777,50
