model,mode,needle_type,num_lines,num_needles,partial_match_mean,partial_match_std,partial_match_count,exact_match_mean,exact_match_std,exact_match_count,generation_ms_mean,generation_ms_std,generation_ms_count,scoring_ms_mean,scoring_ms_std,scoring_ms_count,total_ms_mean,total_ms_std,total_ms_count,sub_llm_call_count_mean,sub_llm_call_count_std,sub_llm_call_count_count,sub_llm_prompt_tokens_mean,sub_llm_prompt_tokens_std,sub_llm_prompt_tokens_count,sub_llm_completion_tokens_mean,sub_llm_completion_tokens_std,sub_llm_completion_tokens_count,sub_llm_total_tool_calls_mean,sub_llm_total_tool_calls_std,sub_llm_total_tool_calls_count,sub_llm_total_turns_mean,sub_llm_total_turns_std,sub_llm_total_turns_count,sub_llm_batch_count_mean,sub_llm_batch_count_std,sub_llm_batch_count_count,sub_llm_max_batch_size_mean,sub_llm_max_batch_size_std,sub_llm_max_batch_size_count,sub_llm_mean_batch_size_mean,sub_llm_mean_batch_size_std,sub_llm_mean_batch_size_count,turns_mean,turns_std,turns_count,prompt_tokens_mean,prompt_tokens_std,prompt_tokens_count,completion_tokens_mean,completion_tokens_std,completion_tokens_count
gpt-5-mini,rlm,numeric,10000,1,1.0,0.0,50,1.0,0.0,50,63719.98727321625,6997.28482010205,50,2.251496315,1.1231662282315824,50,63722.23876953125,6997.128334198253,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,5.3,1.4321384039831013,50,7448.24,4253.889689712804,50,840.14,353.0546012001139,50
gpt-5-mini,rlm,word,1000,1,1.0,0.0,50,1.0,0.0,50,56504.03726577758,4530.9089436582635,50,2.30438709259,0.8043705585833567,50,56506.34165287018,4530.707588329904,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,4.56,0.6439672954048371,50,4891.98,976.9295191087855,50,597.96,147.20303346475058,50
gpt-5-mini,rlm,word,5000,1,1.0,0.0,50,1.0,0.0,50,57619.4235944748,4262.051252632919,50,2.530808448788,1.344925944709848,50,57621.954402923584,4261.9182939166485,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,4.64,0.8750510189207745,50,5107.62,1357.8855996116363,50,632.04,175.0639486657632,50
gpt-5-mini,rlm,word,10000,1,1.0,0.0,150,1.0,0.0,150,68801.04383468628,15130.405285455387,150,2.6828956604006664,6.3248544701945555,150,68803.72673034668,15130.970936517504,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,4.786666666666667,0.7907745473821678,150,5348.266666666666,1304.4781602976386,150,631.0533333333333,171.57614337486288,150
gpt-5-mini,rlm,word,10000,3,1.0,0.0,50,1.0,0.0,50,59593.09537410737,3301.2734571604306,50,2.1742916107159997,0.5592770459114179,50,59595.26966571808,3301.2573000251537,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,4.8,0.857142857142857,50,5510.08,1339.5259112606875,50,727.92,151.58399570898652,50
gpt-5-mini,rlm,word,10000,5,1.0,0.0,50,1.0,0.0,50,64507.90778160095,6336.03960638898,50,2.319617271424,1.0678003093536708,50,64510.227398872375,6335.925570172583,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,4.84,0.9337219793353253,50,5632.82,1657.212137591199,50,825.64,184.15308183959453,50
gpt-5-mini,rlm,word,20000,1,1.0,0.0,50,1.0,0.0,50,59461.50475025177,3728.7015714612344,50,2.145400047302,0.7611316421139669,50,59463.65015029907,3728.6086403888607,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,4.88,0.9398219544799156,50,5368.74,1458.7388292071803,50,631.14,147.9146209880579,50
gpt-5-mini,rlm_tips,numeric,10000,1,0.98,0.1414213562373095,50,0.98,0.1414213562373095,50,77708.7040233612,108855.84952581314,50,2.191095352166,0.8924578711119012,50,77710.89511871338,108855.7936254395,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,6.14,2.4908813291520664,50,10044.06,12699.596937859154,50,1040.1,1357.1548608491705,50
gpt-5-mini,rlm_tips,word,1000,1,1.0,0.0,50,1.0,0.0,50,92372.89738178253,3970.5565219754585,50,2.268648147584,0.8968828474013636,50,92375.16602993011,3970.5896820325825,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,4.66,0.8715456595811226,50,5088.92,1285.7129339675434,50,574.08,142.4869260024675,50
gpt-5-mini,rlm_tips,word,5000,1,1.0,0.0,50,1.0,0.0,50,67598.53232383728,3218.0444588840915,50,2.390489578244,1.475776848678015,50,67600.92281341553,3217.891125931532,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,4.88,0.7182745765700876,50,5592.26,1309.4161467257543,50,625.38,172.98117038025396,50
