model,mode,subset,judge_reward,exact_match,contains_answer,context_length,generation_ms,scoring_ms,total_ms,sub_llm_call_count,sub_llm_prompt_tokens,sub_llm_completion_tokens,sub_llm_total_tool_calls,sub_llm_total_turns,sub_llm_batch_count,sub_llm_max_batch_size,sub_llm_mean_batch_size,turns,prompt_tokens,completion_tokens
z-ai/glm-4.6,standard,real,0.0,0.0,1.0,412864,56551.0630607605,2012.8109455109,58563.8740062714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,108838.0,875.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,361858,1650406.8460464478,1636.0380649567,1652042.8841114044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,95400.0,65536.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,372007,135118.7810897827,1236.2129688263,136354.994058609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,97316.0,3866.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,372007,90027.5149345398,1661.7119312286,91689.2268657684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,97298.0,1290.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,372709,531150.2411365509,1746.2520599365,532896.4931964874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,337780,36397.0441818237,1433.9377880096,37830.9819698334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87989.0,329.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,380913,139852.0791530609,1606.2490940094,141458.3282470703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100439.0,4714.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,556759,33493.2413101196,1406.3692092896,34899.6105194092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137213.0,20.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,556759,3730612.829208374,1363.4848594666,3731976.3140678406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,145014.0,65069.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,558302,27496.4418411255,1324.581861496,28821.0237026215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137213.0,5.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,535994,550033.60414505,2108.0410480499,552141.6451931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137213.0,6319.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,725434,27913.7580394745,1386.7921829224,29300.5502223969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137213.0,3.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,731418,228457.7579498291,1606.1718463898,230063.9297962189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137213.0,4530.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,717548,31897.7608680725,1372.1580505371,33269.9189186096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137213.0,3.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,827225,8335.0148200989,1556.7817687988,9891.7965888977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,700088,27821.7787742615,990.9539222717,28812.7326965332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137213.0,3.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,700088,90115.2670383453,4395.1082229614,94510.3752613068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137213.0,914.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,926010,8384.0210437775,2223.9861488342,10608.0071926117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,926010,11090.5928611755,3624.5341300964,14715.126991272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,922092,10035.7840061188,1722.4969863892,11758.2809925079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,903334,5773.5137939453,1614.8011684418,7388.3149623871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,983910,7450.2160549164,2149.2080688477,9599.424123764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,983910,11058.7258338928,1327.6288509369,12386.3546848297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,1076257,5110.6476783752,1482.2962284088,6592.9439067841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,1157727,10040.9390926361,1677.3428916931,11718.2819843292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,1157727,9845.4809188843,1363.979101181,11209.4600200653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,1126603,11545.731306076,2190.7000541687,13736.4313602448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,1283346,12413.6300086975,1381.3011646271,13794.9311733246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,1363494,12797.091960907,1554.2562007904,14351.3481616974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,1356679,8491.3427829742,1831.0008049011,10322.3435878754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,1318503,10567.1150684357,1897.1779346466,12464.2930030823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,1486244,13899.8939990997,4971.6641902924,18871.5581893921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,1557395,12010.684967041,1511.8248462677,13522.5098133087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,1557395,12837.2249603271,1823.991060257,14661.2160205841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,1636563,11245.5899715424,3673.9361286163,14919.5261001587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,1518752,11665.1179790497,1835.4098796844,13500.5278587341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,1584486,12080.3349018097,1304.4371604919,13384.7720623016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,1569922,11986.888885498,1392.7400112152,13379.6288967133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,1870476,13087.7571105957,1586.9371891022,14674.6942996979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,2955959,16273.3268737793,1793.0910587311,18066.4179325104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z-ai/glm-4.6,standard,real,0.0,0.0,0.0,2991214,16850.289106369,1147.5009918213,17997.7900981903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
